Time	Cycle	PC	Insn	Decoded instruction	Register and memory contents
             20	         6	00100080	2c60006f	jal	x0,100346	  x0=0x00000000
             26	         9	00100346	00000093	addi	x1,x0,0	  x0:0x00000000  x1=0x00000000
             28	        10	0010034a	8106	c.mv	x2,x1	  x0:0x00000000  x1:0x00000000  x2=0x00000000
             30	        11	0010034c	8186	c.mv	x3,x1	  x0:0x00000000  x1:0x00000000  x3=0x00000000
             32	        12	0010034e	8206	c.mv	x4,x1	  x0:0x00000000  x1:0x00000000  x4=0x00000000
             34	        13	00100350	8286	c.mv	x5,x1	  x0:0x00000000  x1:0x00000000  x5=0x00000000
             36	        14	00100352	8306	c.mv	x6,x1	  x0:0x00000000  x1:0x00000000  x6=0x00000000
             38	        15	00100354	8386	c.mv	x7,x1	  x0:0x00000000  x1:0x00000000  x7=0x00000000
             40	        16	00100356	8406	c.mv	x8,x1	  x0:0x00000000  x1:0x00000000  x8=0x00000000
             42	        17	00100358	8486	c.mv	x9,x1	  x0:0x00000000  x1:0x00000000  x9=0x00000000
             44	        18	0010035a	8506	c.mv	x10,x1	  x0:0x00000000  x1:0x00000000 x10=0x00000000
             46	        19	0010035c	8586	c.mv	x11,x1	  x0:0x00000000  x1:0x00000000 x11=0x00000000
             48	        20	0010035e	8606	c.mv	x12,x1	  x0:0x00000000  x1:0x00000000 x12=0x00000000
             50	        21	00100360	8686	c.mv	x13,x1	  x0:0x00000000  x1:0x00000000 x13=0x00000000
             52	        22	00100362	8706	c.mv	x14,x1	  x0:0x00000000  x1:0x00000000 x14=0x00000000
             54	        23	00100364	8786	c.mv	x15,x1	  x0:0x00000000  x1:0x00000000 x15=0x00000000
             56	        24	00100366	8806	c.mv	x16,x1	  x0:0x00000000  x1:0x00000000 x16=0x00000000
             58	        25	00100368	8886	c.mv	x17,x1	  x0:0x00000000  x1:0x00000000 x17=0x00000000
             60	        26	0010036a	8906	c.mv	x18,x1	  x0:0x00000000  x1:0x00000000 x18=0x00000000
             62	        27	0010036c	8986	c.mv	x19,x1	  x0:0x00000000  x1:0x00000000 x19=0x00000000
             64	        28	0010036e	8a06	c.mv	x20,x1	  x0:0x00000000  x1:0x00000000 x20=0x00000000
             66	        29	00100370	8a86	c.mv	x21,x1	  x0:0x00000000  x1:0x00000000 x21=0x00000000
             68	        30	00100372	8b06	c.mv	x22,x1	  x0:0x00000000  x1:0x00000000 x22=0x00000000
             70	        31	00100374	8b86	c.mv	x23,x1	  x0:0x00000000  x1:0x00000000 x23=0x00000000
             72	        32	00100376	8c06	c.mv	x24,x1	  x0:0x00000000  x1:0x00000000 x24=0x00000000
             74	        33	00100378	8c86	c.mv	x25,x1	  x0:0x00000000  x1:0x00000000 x25=0x00000000
             76	        34	0010037a	8d06	c.mv	x26,x1	  x0:0x00000000  x1:0x00000000 x26=0x00000000
             78	        35	0010037c	8d86	c.mv	x27,x1	  x0:0x00000000  x1:0x00000000 x27=0x00000000
             80	        36	0010037e	8e06	c.mv	x28,x1	  x0:0x00000000  x1:0x00000000 x28=0x00000000
             82	        37	00100380	8e86	c.mv	x29,x1	  x0:0x00000000  x1:0x00000000 x29=0x00000000
             84	        38	00100382	8f06	c.mv	x30,x1	  x0:0x00000000  x1:0x00000000 x30=0x00000000
             86	        39	00100384	8f86	c.mv	x31,x1	  x0:0x00000000  x1:0x00000000 x31=0x00000000
             88	        40	00100386	00038117	auipc	x2,0x38	  x2=0x00138386
             90	        41	0010038a	c7a10113	addi	x2,x2,-902	  x2:0x00138386  x2=0x00138000
             92	        42	0010038e	00000d17	auipc	x26,0x0	 x26=0x0010038e
             94	        43	00100392	10ad0d13	addi	x26,x26,266	 x26:0x0010038e x26=0x00100498
             96	        44	00100396	00000d97	auipc	x27,0x0	 x27=0x00100396
             98	        45	0010039a	112d8d93	addi	x27,x27,274	 x27:0x00100396 x27=0x001004a8
            100	        46	0010039e	01bd5763	bge	x26,x27,1003ac	 x26:0x00100498 x27:0x001004a8
            102	        47	001003a2	000d2023	sw	x0,0(x26)	 x26:0x00100498  x0:0x00000000 PA:0x00100498 store:0x00000000
            104	        48	001003a6	0d11	c.addi	x26,4	 x26:0x00100498 x26=0x0010049c
            106	        49	001003a8	ffaddde3	bge	x27,x26,1003a2	 x27:0x001004a8 x26:0x0010049c
            112	        52	001003a2	000d2023	sw	x0,0(x26)	 x26:0x0010049c  x0:0x00000000 PA:0x0010049c store:0x00000000
            114	        53	001003a6	0d11	c.addi	x26,4	 x26:0x0010049c x26=0x001004a0
            116	        54	001003a8	ffaddde3	bge	x27,x26,1003a2	 x27:0x001004a8 x26:0x001004a0
            122	        57	001003a2	000d2023	sw	x0,0(x26)	 x26:0x001004a0  x0:0x00000000 PA:0x001004a0 store:0x00000000
            124	        58	001003a6	0d11	c.addi	x26,4	 x26:0x001004a0 x26=0x001004a4
            126	        59	001003a8	ffaddde3	bge	x27,x26,1003a2	 x27:0x001004a8 x26:0x001004a4
            132	        62	001003a2	000d2023	sw	x0,0(x26)	 x26:0x001004a4  x0:0x00000000 PA:0x001004a4 store:0x00000000
            134	        63	001003a6	0d11	c.addi	x26,4	 x26:0x001004a4 x26=0x001004a8
            136	        64	001003a8	ffaddde3	bge	x27,x26,1003a2	 x27:0x001004a8 x26:0x001004a8
            142	        67	001003a2	000d2023	sw	x0,0(x26)	 x26:0x001004a8  x0:0x00000000 PA:0x001004a8 store:0x00000000
            144	        68	001003a6	0d11	c.addi	x26,4	 x26:0x001004a8 x26=0x001004ac
            146	        69	001003a8	ffaddde3	bge	x27,x26,1003a2	 x27:0x001004a8 x26:0x001004ac
            148	        70	001003ac	4501	c.li	x10,0	 x10=0x00000000
            150	        71	001003ae	4581	c.li	x11,0	 x11=0x00000000
            152	        72	001003b0	016000ef	jal	x1,1003c6	  x1=0x001003b4
            156	        74	001003c6	1101	c.addi	x2,-32	  x2:0x00138000  x2=0x00137fe0
            158	        75	001003c8	ce06	c.swsp	x1,28(x2)	  x2:0x00137fe0  x1:0x001003b4 PA:0x00137ffc store:0x001003b4
            160	        76	001003ca	cc22	c.swsp	x8,24(x2)	  x2:0x00137fe0  x8:0x00000000 PA:0x00137ff8 store:0x00000000
            162	        77	001003cc	57fd	c.li	x15,-1	 x15=0xffffffff
            164	        78	001003ce	32079073	csrrw	x0,mcountinhibit,x15	 x15:0xffffffff  x0=0x00000000
            170	        81	001003d2	3301	c.jal	1000d2	  x1=0x001003d4
            176	        84	001000d2	b0201073	csrrw	x0,minstret,x0	  x0:0x00000000  x0=0x00000000
            182	        87	001000d6	b0001073	csrrw	x0,mcycle,x0	  x0:0x00000000  x0=0x00000000
            188	        90	001000da	b0301073	csrrw	x0,mhpmcounter3,x0	  x0:0x00000000  x0=0x00000000
